task,condition,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
detailed_ways_to_use_a_brick,high_steering,1,25058,219.25,13.397294502995853,40,40,"researching Amazon, deploying AWS"
detailed_ways_to_use_a_brick,high_steering,2,23007,195.25,16.388639357799093,40,40,a pathway or BBQ
detailed_ways_to_use_a_brick,high_steering,3,20210,189.45,17.020502342763038,40,40,stone and earth construction
detailed_ways_to_use_a_brick,high_steering,4,62454,172.925,9.897948019665336,40,40,"kidney stones, rock"
detailed_ways_to_use_a_brick,high_steering,5,59162,172.9,10.584894897919263,40,40,bricks and building
detailed_ways_to_use_a_brick,high_steering,6,5769,164.775,9.558994455485147,40,40,place flat stable stack
detailed_ways_to_use_a_brick,high_steering,7,45632,133.675,15.819904392884297,40,40,favorite type of lamp
detailed_ways_to_use_a_brick,high_steering,8,35034,123.225,7.47826015861994,40,40,best deals and different models
detailed_ways_to_use_a_brick,high_steering,9,33057,120.5,13.584918107960727,40,40,stable surface
detailed_ways_to_use_a_brick,high_steering,10,46665,120.2,17.870646322950908,40,40,outdoor spaces and items
improve_the_stapler_with_many_specific_enhancements,high_steering,1,40325,78.95,2.5490194193060773,40,40,pens
improve_the_stapler_with_many_specific_enhancements,high_steering,2,15715,75.825,3.693829313869138,40,40,but followed by descriptions of state or action
improve_the_stapler_with_many_specific_enhancements,high_steering,3,36804,74.425,5.982840044661097,40,40,ergonomic handle or grip
improve_the_stapler_with_many_specific_enhancements,high_steering,4,27847,68.05,3.3011361680488185,40,40,mechanics and springs
improve_the_stapler_with_many_specific_enhancements,high_steering,5,56212,67.9,1.6552945357243443,40,40,lighting range ergonomic features
improve_the_stapler_with_many_specific_enhancements,high_steering,6,4544,67.25,1.6844880527921937,40,40,adjustable legs for storage
improve_the_stapler_with_many_specific_enhancements,high_steering,7,23061,66.25,2.5470571253900416,40,40,hardware and fasteners
improve_the_stapler_with_many_specific_enhancements,high_steering,8,35034,66.075,3.0032274306152464,40,40,best deals and different models
improve_the_stapler_with_many_specific_enhancements,high_steering,9,25058,64.75,3.8778215533982947,40,40,"researching Amazon, deploying AWS"
improve_the_stapler_with_many_specific_enhancements,high_steering,10,54443,63.925,1.967072698199198,40,40,"separate chambers, adjustable legs, mechanism"
